docid,lang
test0000,en
test0001,mr
test0002,ur
test0003,nl
test0004,en
test0005,mr
test0006,en
test0007,it
test0008,mr
test0009,de
test0010,unk
test0011,fa
test0012,es
test0013,de
test0014,he
test0015,uk
test0016,unk
test0017,en
test0018,ar
test0019,en
test0020,en
test0021,th
test0022,mr
test0023,en
test0024,fa
test0025,en
test0026,hi
test0027,fr
test0028,en
test0029,mr
test0030,de
test0031,en
test0032,en
test0033,ur
test0034,de
test0035,unk
test0036,he
test0037,en
test0038,he
test0039,fr
test0040,en
test0041,en
test0042,en
test0043,ur
test0044,es
test0045,en
test0046,en
test0047,en
test0048,en
test0049,en
test0050,de
test0051,nl
test0052,unk
test0053,ar
test0054,en
test0055,nl
test0056,uk
test0057,en
test0058,fr
test0059,en
test0060,ar
test0061,en
test0062,ru
test0063,th
test0064,de
test0065,ar
test0066,es
test0067,fa
test0068,en
test0069,ar
test0070,uk
test0071,de
test0072,ar
test0073,de
test0074,ko
test0075,en
test0076,unk
test0077,fa
test0078,hi
test0079,unk
test0080,fr
test0081,en
test0082,es
test0083,fa
test0084,nl
test0085,en
test0086,ru
test0087,en
test0088,de
test0089,nl
test0090,unk
test0091,fa
test0092,ko
test0093,fa
test0094,ar
test0095,mr
test0096,es
test0097,bg
test0098,en
test0099,fa
test0100,en
test0101,ru
test0102,it
test0103,ru
test0104,ru
test0105,fr
test0106,ja
test0107,fr
test0108,ja
test0109,ru
test0110,ru
test0111,de
test0112,en
test0113,unk
test0114,es
test0115,unk
test0116,ja
test0117,nl
test0118,fr
test0119,de
test0120,bg
test0121,it
test0122,de
test0123,ru
test0124,hi
test0125,en
test0126,es
test0127,bg
test0128,ur
test0129,es
test0130,en
test0131,ru
test0132,it
test0133,es
test0134,ru
test0135,it
test0136,en
test0137,ur
test0138,fa
test0139,en
test0140,fa
test0141,en
test0142,en
test0143,es
test0144,fa
test0145,hi
test0146,ru
test0147,es
test0148,de
test0149,unk
test0150,es
test0151,uk
test0152,es
test0153,es
test0154,unk
test0155,fa
test0156,ne
test0157,en
test0158,fr
test0159,es
test0160,it
test0161,ko
test0162,es
test0163,ja
test0164,es
test0165,fr
test0166,fr
test0167,ur
test0168,en
test0169,ru
test0170,unk
test0171,en
test0172,fa
test0173,en
test0174,fr
test0175,ru
test0176,ur
test0177,fa
test0178,ru
test0179,mr
test0180,es
test0181,hi
test0182,en
test0183,de
test0184,fr
test0185,es
test0186,ne
test0187,en
test0188,ne
test0189,ru
test0190,nl
test0191,bg
test0192,en
test0193,en
test0194,mr
test0195,en
test0196,ru
test0197,fr
test0198,nl
test0199,nl
test0200,fr
test0201,fr
test0202,it
test0203,fr
test0204,ne
test0205,bg
test0206,mr
test0207,ur
test0208,unk
test0209,ru
test0210,fa
test0211,fr
test0212,ru
test0213,ru
test0214,ru
test0215,uk
test0216,ar
test0217,en
test0218,fr
test0219,en
test0220,unk
test0221,de
test0222,fr
test0223,en
test0224,en
test0225,fa
test0226,es
test0227,ru
test0228,fa
test0229,hi
test0230,en
test0231,ur
test0232,hi
test0233,en
test0234,en
test0235,en
test0236,fr
test0237,ko
test0238,es
test0239,fa
test0240,mr
test0241,ja
test0242,en
test0243,bg
test0244,en
test0245,mr
test0246,fr
test0247,ur
test0248,nl
test0249,nl
test0250,es
test0251,en
test0252,de
test0253,bg
test0254,fr
test0255,en
test0256,th
test0257,de
test0258,uk
test0259,de
test0260,unk
test0261,mr
test0262,it
test0263,es
test0264,ru
test0265,en
test0266,ur
test0267,unk
test0268,ru
test0269,fa
test0270,nl
test0271,es
test0272,es
test0273,mr
test0274,en
test0275,en
test0276,bg
test0277,fa
test0278,hi
test0279,en
test0280,en
test0281,de
test0282,ru
test0283,hi
test0284,ru
test0285,de
test0286,unk
test0287,uk
test0288,fr
test0289,ar
test0290,unk
test0291,de
test0292,ar
test0293,de
test0294,es
test0295,fa
test0296,nl
test0297,en
test0298,ru
test0299,ru
test0300,es
test0301,bg
test0302,en
test0303,ur
test0304,th
test0305,fr
test0306,en
test0307,fa
test0308,de
test0309,es
test0310,uk
test0311,de
test0312,en
test0313,en
test0314,es
test0315,en
test0316,ru
test0317,ja
test0318,en
test0319,bg
test0320,en
test0321,ru
test0322,es
test0323,bg
test0324,fr
test0325,en
test0326,en
test0327,ar
test0328,ar
test0329,unk
test0330,en
test0331,ar
test0332,ar
test0333,en
test0334,unk
test0335,ar
test0336,fr
test0337,it
test0338,en
test0339,de
test0340,en
test0341,it
test0342,it
test0343,ru
test0344,ur
test0345,en
test0346,fr
test0347,uk
test0348,ru
test0349,mr
test0350,uk
test0351,fa
test0352,nl
test0353,unk
test0354,ru
test0355,fa
test0356,nl
test0357,en
test0358,en
test0359,unk
test0360,ru
test0361,de
test0362,uk
test0363,mr
